subset,dataset,variant,dtype,n_queries,n_docs,ndcg@5,recall@1,recall@5,avg_doc_tokens,avg_doc_kb,total_doc_kb,mean_keep_ratio,storage_saving_pct
arxivqa,v1,baseline,torch.bfloat16,500,500,0.7838,0.72,0.84,1031.0,257.75,128875.0,1.0,0.0
arxivqa,v1,pruned,torch.bfloat16,500,500,0.773,0.712,0.824,481.48,120.3705,60185.25,0.4634,53.3
economics_v2,v2,baseline,torch.bfloat16,232,452,0.4414,0.0431,0.2282,1031.0,257.75,116503.0,1.0,0.0
economics_v2,v2,pruned,torch.bfloat16,232,452,0.4172,0.0432,0.1947,448.68,112.1698,50700.75,0.4313,56.48
AVERAGE,v1,baseline,torch.bfloat16,500,500,0.7838,0.72,0.84,1031.0,257.75,128875.0,1.0,0.0
AVERAGE,v1,pruned,torch.bfloat16,500,500,0.773,0.712,0.824,481.48,120.3705,60185.25,0.4634,53.3
AVERAGE,v2,baseline,torch.bfloat16,232,452,0.4414,0.0431,0.2282,1031.0,257.75,116503.0,1.0,0.0
AVERAGE,v2,pruned,torch.bfloat16,232,452,0.4172,0.0432,0.1947,448.68,112.1698,50700.75,0.4313,56.48
