subset,n_queries,n_docs,ndcg@5,recall@1,recall@5
arxivqa,500,500,0.9175,0.868,0.958
docvqa,500,500,0.5967,0.514,0.674
infovqa,500,500,0.9285,0.884,0.964
shiftproject,100,1000,0.9136,0.83,0.98
synth_ai,100,968,0.9926,0.98,1.0
synth_energy,100,977,0.9713,0.96,0.98
synth_gov,100,972,0.9689,0.93,1.0
synth_health,100,965,0.9963,0.99,1.0
tabfquad,280,70,0.931,0.8857,0.9643
tatdqa,1663,277,0.8132,0.7114,0.8978
AVERAGE,,,0.903,0.8553,0.9418
