subset,n_queries,n_docs,ndcg@5,recall@1,recall@5
arxivqa,500,500,0.7846,0.728,0.834
docvqa,500,500,0.5294,0.454,0.596
infovqa,500,500,0.7985,0.732,0.856
shiftproject,100,1000,0.6774,0.49,0.83
synth_ai,100,968,0.9365,0.9,0.96
synth_energy,100,977,0.9206,0.86,0.97
synth_gov,100,972,0.8996,0.81,0.97
synth_health,100,965,0.9252,0.88,0.96
tabfquad,280,70,0.8449,0.7714,0.9107
tatdqa,1663,277,0.6442,0.5087,0.7613
AVERAGE,,,0.7961,0.7134,0.8648
